image_names,gender,age,xmin,ymin,xmax,ymax
19333.jpg,Male,19,96,52,134,91
36691.jpg,Female,23,69,83,194,208
24387.jpg,Male,63,706,509,851,655
8131.jpg,Male,41,46,77,183,214
19381.jpg,Male,20,115,64,228,178
34536.jpg,Male,47,94,43,170,119
5486.jpg,Female,44,74,104,207,237
20545.jpg,Male,43,640,161,1117,638
367.jpg,Female,20,208,109,288,189
5318.jpg,Male,35,209,42,302,135
22204.jpg,Male,31,587,324,766,504
3018.jpg,Male,39,20,79,198,257
19422.jpg,Male,31,292,138,445,291
14900.jpg,Female,64,115,71,195,150
36453.jpg,Female,33,286,129,368,211
31539.jpg,Female,36,552,368,1100,917
14135.jpg,Male,61,165,120,299,254
26443.jpg,Male,23,453,378,1129,1053
1582.jpg,Female,22,85,60,161,136
18587.jpg,Female,21,98,59,185,146
33323.jpg,Male,56,195,113,262,179
3078.jpg,Female,19,66,66,183,183
7682.jpg,Male,30,73,88,204,218
11569.jpg,Male,53,1203,1502,2545,2844
13295.jpg,Male,43,42,126,230,314
9275.jpg,Female,44,548,151,993,596
24165.jpg,Female,24,111,56,194,139
13645.jpg,Female,37,161,103,263,206
8632.jpg,Female,33,166,116,314,264
20266.jpg,Female,32,231,116,345,230
154.jpg,Male,30,292,121,445,274
9956.jpg,Male,58,60,120,167,227
7824.jpg,Female,35,90,52,132,94
14016.jpg,Male,51,260,217,648,605
22638.jpg,Female,32,77,102,305,331
11699.jpg,Male,57,481,587,958,1064
14662.jpg,Female,47,144,303,273,432
3368.jpg,Male,27,62,125,202,264
32803.jpg,Female,25,156,69,207,120
25755.jpg,Female,29,616,300,772,456
27723.jpg,Female,40,91,65,208,182
12418.jpg,Male,60,886,559,1179,851
6147.jpg,Male,46,80,100,258,278
16089.jpg,Female,37,241,36,349,144
13829.jpg,Female,34,529,604,1204,1279
11420.jpg,Female,34,91,91,294,294
10483.jpg,Male,58,867,340,1204,677
32612.jpg,Male,26,35,87,192,244
31443.jpg,Male,60,460,329,1048,917
36220.jpg,Male,50,901,901,2245,2245
936.jpg,Male,31,109,217,351,459
18506.jpg,Female,21,658,306,800,448
23042.jpg,Male,37,338,148,527,337
19732.jpg,Female,35,41,82,224,265
23051.jpg,Male,37,193,161,336,304
3019.jpg,Male,45,405,163,1129,887
5583.jpg,Female,48,76,38,114,76
29706.jpg,Female,34,520,520,1297,1297
11154.jpg,Female,28,25,75,248,298
3463.jpg,Male,33,434,347,1210,1124
17613.jpg,Female,24,79,57,143,121
12780.jpg,Female,49,348,1552,1891,3095
36741.jpg,Female,24,564,218,951,605
24911.jpg,Male,46,24,71,237,284
14454.jpg,Female,65,87,54,184,151
35137.jpg,Female,37,423,353,1053,983
26555.jpg,Male,35,261,434,1037,1210
12091.jpg,Male,19,88,48,160,120
15155.jpg,Female,32,1083,215,1228,360
1161.jpg,Male,35,75,45,208,179
15687.jpg,Male,45,84,112,210,238
34096.jpg,Female,18,176,147,307,278
14709.jpg,Male,68,980,453,1317,790
8932.jpg,Male,52,149,43,340,234
18508.jpg,Female,21,535,268,751,485
13880.jpg,Male,39,92,46,142,97
15088.jpg,Female,25,86,86,279,279
21974.jpg,Female,25,275,206,428,360
8852.jpg,Female,35,608,526,753,671
32454.jpg,Male,46,526,329,1114,917
25815.jpg,Male,26,604,233,1019,648
22199.jpg,Male,33,208,156,441,389
1665.jpg,Male,37,94,81,215,202
28797.jpg,Female,35,529,604,1204,1279
3341.jpg,Male,23,52,39,167,154
9006.jpg,Male,35,529,227,865,564
36739.jpg,Female,22,118,103,248,234
14299.jpg,Male,66,172,103,480,411
6879.jpg,Female,43,166,125,352,310
23664.jpg,Female,25,397,181,720,504
34874.jpg,Male,39,737,153,929,345
30280.jpg,Female,30,2197,738,3501,2042
29540.jpg,Male,31,292,73,400,181
33754.jpg,Male,42,457,81,528,152
13069.jpg,Female,26,904,292,1192,580
16643.jpg,Male,33,167,122,224,179
22816.jpg,Female,27,125,48,211,134
17679.jpg,Male,55,820,536,1137,853
26096.jpg,Male,32,340,122,558,339
19569.jpg,Male,53,1077,370,1351,645
21762.jpg,Female,33,35,140,348,452
23489.jpg,Male,55,194,73,412,290
15317.jpg,Female,40,686,458,1198,969
7089.jpg,Male,48,75,113,243,280
1502.jpg,Male,47,50,193,99,242
35339.jpg,Male,31,114,114,285,285
27335.jpg,Male,34,118,69,206,157
31239.jpg,Male,36,188,59,293,164
26180.jpg,Female,33,101,55,183,137
15843.jpg,Female,29,102,83,185,166
6043.jpg,Male,68,159,64,229,134
17016.jpg,Male,41,106,159,344,396
4461.jpg,Male,34,513,200,769,455
12128.jpg,Male,42,304,434,691,821
22039.jpg,Female,18,102,87,166,151
7484.jpg,Male,34,414,296,942,824
15217.jpg,Female,53,60,80,239,259
7478.jpg,Male,50,511,280,926,695
10673.jpg,Male,55,1243,225,1465,447
36571.jpg,Female,30,98,146,315,363
30175.jpg,Female,23,169,70,238,138
26221.jpg,Male,42,124,36,189,101
29717.jpg,Female,38,430,430,978,978
33099.jpg,Male,56,604,227,941,564
21834.jpg,Female,28,1169,391,1556,778
12602.jpg,Male,38,548,548,993,993
7482.jpg,Male,50,854,460,1441,1048
8344.jpg,Male,58,102,42,178,118
3449.jpg,Male,35,214,427,1171,1384
3771.jpg,Female,34,273,201,344,272
3248.jpg,Female,42,1177,511,1351,685
4068.jpg,Male,56,971,173,1483,684
21792.jpg,Female,28,1667,628,3532,2493
16942.jpg,Male,49,36,108,197,269
18820.jpg,Male,56,882,233,1297,648
4700.jpg,Female,27,53,74,148,169
10501.jpg,Female,57,2023,836,3087,1899
8478.jpg,Male,57,76,76,211,211
28851.jpg,Male,22,73,33,146,106
4951.jpg,Female,32,329,198,917,786
22375.jpg,Male,31,155,124,247,216
36035.jpg,Female,19,281,89,352,160
20435.jpg,Male,50,179,45,259,125
8331.jpg,Male,49,117,117,327,327
18442.jpg,Female,31,88,105,245,262
21720.jpg,Female,29,111,35,172,96
16910.jpg,Female,46,115,172,371,428
7720.jpg,Male,36,109,54,169,115
10747.jpg,Female,37,132,55,173,95
7256.jpg,Male,49,748,137,950,339
798.jpg,Male,36,378,138,531,291
28607.jpg,Male,32,244,405,968,1129
1321.jpg,Female,37,75,42,149,116
30715.jpg,Male,40,219,73,327,181
17572.jpg,Male,53,673,280,880,486
5979.jpg,Male,36,214,123,305,213
22771.jpg,Female,32,71,107,230,266
30029.jpg,Female,39,163,92,253,182
3597.jpg,Male,39,88,53,167,132
2230.jpg,Male,22,53,88,211,246
12072.jpg,Male,53,100,116,248,264
655.jpg,Male,30,349,647,794,1092
24960.jpg,Female,29,528,212,842,526
29420.jpg,Female,65,241,97,384,240
10595.jpg,Male,28,610,263,999,651
1456.jpg,Male,65,254,85,443,274
28055.jpg,Male,23,486,244,847,605
14992.jpg,Female,59,91,81,182,172
10685.jpg,Male,58,67,94,188,214
4203.jpg,Female,55,353,59,419,124
6860.jpg,Male,69,849,405,1210,766
